name,jurisdiction,jurisdictionType,entityType,status,birthyear,zipcode
MARITIME INSURANCE COMPANY LIMITED,UNITED KINGDOM,world,Statement & Designation By Foreign Corporation,Surrendered,1889,90017
CANADIAN IMPERIAL BANK OF COMMERCE,CANADA,world,Statement & Designation By Foreign Corporation,Active,1901,90045
THE HONGKONG AND SHANGHAI BANKING CORPORATION LIMITED,HONG KONG,world,Statement & Designation By Foreign Corporation,Surrendered,1904,90017
THE EMPLOYERS' LIABILITY ASSURANCE CORPORATION LIMITED,UNITED KINGDOM,world,Statement & Designation By Foreign Corporation,Active,1904,90005
AMERICAN CAST IRON PIPE COMPANY,GEORGIA,world,Statement & Designation By Foreign Corporation,Active,1914,90017
D. A. STUART LTD.,CANADA,world,Statement & Designation By Foreign Corporation,Forfeited,1940,90017
"SUMMIT INDUSTRIES, INC., WHICH WILL DO BUSINESS IN CALIFORNIA AS SII OF GEORGIA, INC.",GEORGIA,world,Statement & Designation By Foreign Corporation,Surrendered,1941,90017
"LUMMUS INDUSTRIES, INC.",GEORGIA,world,Statement & Designation By Foreign Corporation,Surrendered,1941,90017
THE CROWN LIFE INSURANCE COMPANY,CANADA,world,Statement & Designation By Foreign Corporation,Surrendered,1942,90017
"SOUTHERN MILLS, INC.",GEORGIA,world,Statement & Designation By Foreign Corporation,Surrendered,1948,90017
"PRODUCCIONES ZACARIAS, S.A.",MEXICO,world,Statement & Designation By Foreign Corporation,Forfeited,1951,90036
"CINEMATOGRAFICA GROVAS, S. A.",MEXICO,world,Statement & Designation By Foreign Corporation,Forfeited,1951,90036
FILMADORA CHAPULTEPEC SA,MEXICO,world,Statement & Designation By Foreign Corporation,Surrendered,1951,90036
"PRODUCCIONES CHURUBUSCO AZTECA, S. A.",MEXICO,world,Statement & Designation By Foreign Corporation,Surrendered,1951,90007
"CINEMATOGRAFICA JALISCO, S. A.",MEXICO,world,Statement & Designation By Foreign Corporation,Surrendered,1952,90036
GEORGIA-PACIFIC CORPORATION,GEORGIA,world,Statement & Designation By Foreign Corporation,Surrendered,1952,90017
UFJ BANK LIMITED,JAPAN,world,Statement & Designation By Foreign Corporation,Surrendered,1952,90017
ALLIANCEONE LTD. WHICH WILL DO BUSINESS AS CANADA ALLIANCEONE LTD.,CANADA,world,Statement & Designation By Foreign Corporation,Surrendered,2005,90017
"JAPAN AIRLINES CO., LTD.",JAPAN,world,Statement & Designation By Foreign Corporation,Active,1954,90245
"MATOUK FILMS, S.A.",MEXICO,world,Statement & Designation By Foreign Corporation,Surrendered,1955,90036
"CINEMATOGRAFICA INTER-CONTINENTAL, S. A.",MEXICO,world,Statement & Designation By Foreign Corporation,Surrendered,1955,90036
"CINEMATOGRAFICA FILMEX, S. A.",MEXICO,world,Statement & Designation By Foreign Corporation,Surrendered,1955,90007
"CINEMATOGRAFICA CALDERON, S. A.",MEXICO,world,Statement & Designation By Foreign Corporation,Surrendered,1955,90007
"CLASA FILMS MUNDIALES, S. A.",MEXICO,world,Statement & Designation By Foreign Corporation,Surrendered,1956,90007
"CINEMATOGRAFICA ROMA, S. A.",MEXICO,world,Statement & Designation By Foreign Corporation,Surrendered,1956,90007
LILLISTON CORPORATION,GEORGIA,world,Statement & Designation By Foreign Corporation,Forfeited,1957,90017
CRAWFORD & COMPANY,GEORGIA,world,Statement & Designation By Foreign Corporation,Active,1957,90017
"ROSAS FILMS, S. A.",MEXICO,world,Statement & Designation By Foreign Corporation,Forfeited,1957,90007
PRODUCTS RESEARCH CO. INTERNATIONAL,LIBERIA,world,Statement & Designation By Foreign Corporation,Surrendered,1957,91367
PIDDINGTON & ASSOCIATES LIMITED,CANADA,world,Statement & Designation By Foreign Corporation,Forfeited,1957,91107
FILMADORA PAN-AMERICANA S A,MEXICO,world,Statement & Designation By Foreign Corporation,Surrendered,1957,90036
BROOKS - ENRIQUEZ S A,MEXICO,world,Statement & Designation By Foreign Corporation,Surrendered,1958,90007
F. MIER S.A.,MEXICO,world,Statement & Designation By Foreign Corporation,Surrendered,1958,90007
"THE BANK OF TOKYO, LTD.",JAPAN,world,Statement & Designation By Foreign Corporation,Surrendered,1959,90071
THE WESTERN LIFE ASSURANCE COMPANY,CANADA,world,Statement & Designation By Foreign Corporation,Active,1959,90012
TOHO COMPANY LTD,JAPAN,world,Statement & Designation By Foreign Corporation,Active,1960,90067
"WORLD CARPETS, INC.",GEORGIA,world,Statement & Designation By Foreign Corporation,Surrendered,1960,90017
J-M POULTRY PACKING COMPANY LIMITED,UNITED KINGDOM,world,Statement & Designation By Foreign Corporation,Surrendered,1961,90017
BRITALTA VENEZOLANO LTD.,CANADA,world,Statement & Designation By Foreign Corporation,Forfeited,1961,90017
"MINEBEA CO., LTD.",JAPAN,world,Statement & Designation By Foreign Corporation,Surrendered,1979,91311
THE HARDAWAY COMPANY,GEORGIA,world,Statement & Designation By Foreign Corporation,Surrendered,1962,90017
SCHLUMBERGER LIMITED (SCHLUMBERGER N.V.),NETHERLANDS ANTILLES,world,Statement & Designation By Foreign Corporation,Forfeited,1962,90017
"THE BANK OF TOKYO-MITSUBISHI UFJ, LTD.",JAPAN,world,Statement & Designation By Foreign Corporation,Active,1962,90017
"ALTMAN MACHINE COMPANY, INC.",GEORGIA,world,Statement & Designation By Foreign Corporation,Surrendered,1962,90017
"PRODUCTORA FILMICA MEXICO, S. A. DE C. V.",MEXICO,world,Statement & Designation By Foreign Corporation,Surrendered,1963,90036
"WEST POINT-PEPPERELL, INC.",GEORGIA,world,Statement & Designation By Foreign Corporation,Surrendered,1963,90017
THE BIBB COMPANY,GEORGIA,world,Statement & Designation By Foreign Corporation,Surrendered,1963,90017
ROTHSCHILD COMPANY,GEORGIA,world,Statement & Designation By Foreign Corporation,Surrendered,1964,90746
STANDARD CHARTERED BANK,UNITED KINGDOM,world,Statement & Designation By Foreign Corporation,Active,1964,91007
SYNTEX CORPORATION,PANAMA,world,Statement & Designation By Foreign Corporation,Surrendered,1964,90017
CORONA PRODUCTS COMPANY,GEORGIA,world,Statement & Designation By Foreign Corporation,Surrendered,1964,90017
ESTUDIOS AMERICA SA,MEXICO,world,Statement & Designation By Foreign Corporation,Surrendered,1965,90007
"THE SHIZUOKA BANK, LTD.",JAPAN,world,Statement & Designation By Foreign Corporation,Active,1984,90503
"AIR TREADS, INC.",GEORGIA,world,Statement & Designation By Foreign Corporation,Surrendered,1965,90247
"SCIENTIFIC - ATLANTA, INC.",GEORGIA,world,Statement & Designation By Foreign Corporation,Surrendered,1965,90017
"BURNHAM SERVICE COMPANY, INC.",GEORGIA,world,Statement & Designation By Foreign Corporation,Forfeited,1965,90017
GENUINE PARTS COMPANY,GEORGIA,world,Statement & Designation By Foreign Corporation,Active,1965,90017
"THE ATLANTA STOVE WORKS, INC.",GEORGIA,world,Statement & Designation By Foreign Corporation,Forfeited,1966,90017
"CINEMATOGRAFICA SOTOMAYOR, S. A.",MEXICO,world,Statement & Designation By Foreign Corporation,Surrendered,1966,90007
THE SALVAGE ASSOCIATION,UNITED KINGDOM,world,Statement & Designation By Foreign Corporation,Forfeited,1966,90017
UNION SECURITY LIFE INSURANCE COMPANY,GEORGIA,world,Statement & Designation By Foreign Corporation,Surrendered,1966,90010
THE LOVABLE COMPANY (TRANSACTING BUSINESS IN CALIFORNIA UNDER THE NAME THE LOVABLE BRASSIERE COMPANY OF CALIFORNIA),GEORGIA,world,Statement & Designation By Foreign Corporation,Forfeited,1966,90017
PHILIPPINE NATIONAL BANK,PHILIPPINES,world,Statement & Designation By Foreign Corporation,Active,1966,90057
"AISIN SEIKI CO., LTD.",JAPAN,world,Statement & Designation By Foreign Corporation,Surrendered,1967,90067
"INVERSIONES MEXCAL, S.A. DE C.V.",MEXICO,world,Statement & Designation By Foreign Corporation,Forfeited,1967,90401
B E R G S A N. V.,NETHERLANDS ANTILLES,world,Statement & Designation By Foreign Corporation,Forfeited,1967,90028
"PELICULAS MUNDIALES Y T. V. PRODUCCIONES, SOCIEDAD ANONIMA",MEXICO,world,Statement & Designation By Foreign Corporation,Surrendered,1967,90036
"CANNERS FOR COCA-COLA BOTTLERS, INC.",GEORGIA,world,Statement & Designation By Foreign Corporation,Surrendered,1968,90017
GEORGIA INTERNATIONAL LIFE INSURANCE COMPANY,GEORGIA,world,Statement & Designation By Foreign Corporation,Surrendered,1968,90017
CONFEDERATION LIFE INSURANCE COMPANY,CANADA,world,Statement & Designation By Foreign Corporation,Surrendered,1968,90017
"HEERY ARCHITECTURE, ENGINEERING & PLANNING, INC.",GEORGIA,world,Statement & Designation By Foreign Corporation,Surrendered,1986,90017
TRANS TOURS SOUTH PACIFIC CORPORATION LIMITED,NEW ZEALAND,world,Statement & Designation By Foreign Corporation,Forfeited,1968,90014
"PRODUCCIONES ANCO, S. A.",MEXICO,world,Statement & Designation By Foreign Corporation,Forfeited,1968,90036
"COLUMBUS MILLS, INC.",GEORGIA,world,Statement & Designation By Foreign Corporation,Surrendered,1969,90017
SATS (CURACAO) N.V.,NETHERLANDS ANTILLES,world,Statement & Designation By Foreign Corporation,Surrendered,1983,90017
K.K. GINJI CORPORATION,JAPAN,world,Statement & Designation By Foreign Corporation,Forfeited,1986,90042
JOHN H. HARLAND COMPANY,GEORGIA,world,Statement & Designation By Foreign Corporation,Surrendered,1969,90017
E. FISHER CORPORATION LTD.,CANADA,world,Statement & Designation By Foreign Corporation,Forfeited,1969,90025
J L PETERS CO INC,GEORGIA,world,Statement & Designation By Foreign Corporation,Forfeited,1969,91355
KEM MANUFACTURING CORPORATION,GEORGIA,world,Statement & Designation By Foreign Corporation,Forfeited,1969,90017
"URANIO FILMS, SOCIEDAD ANONIMA",MEXICO,world,Statement & Designation By Foreign Corporation,Forfeited,1969,90007
E Z AMERICA LIMITED,AUSTRALIA,world,Statement & Designation By Foreign Corporation,Surrendered,1986,90067
SHOREWEST MINING CO. LTD. (NON-PERSONAL LIABILITY),CANADA,world,Statement & Designation By Foreign Corporation,Forfeited,1970,90211
"OXFORD INDUSTRIES, INC. WHICH WILL DO BUSINESS IN CALIFORNIA AS GEORGIA OXFORD INDUSTRIES, INC.",GEORGIA,world,Statement & Designation By Foreign Corporation,Active,1970,90017
RAINIER ENERGY RESOURCES INC.,CANADA,world,Statement & Designation By Foreign Corporation,Forfeited,1970,90017
SOUTHERN TEA COMPANY,GEORGIA,world,Statement & Designation By Foreign Corporation,Surrendered,1970,90040
MINI-SKOOLS LIMITED,CANADA,world,Statement & Designation By Foreign Corporation,Forfeited,1970,90017
"PRODUCCIONES CINETELMEX, SOCIEDAD ANONIMA",MEXICO,world,Statement & Designation By Foreign Corporation,Surrendered,1970,90036
"CIMA FILMS, SOCIEDAD ANONIMA",MEXICO,world,Statement & Designation By Foreign Corporation,Surrendered,1971,90036
CASABATIMA S. A.,SWITZERLAND,world,Statement & Designation By Foreign Corporation,Surrendered,1971,90017
"NIPPON ANTENNA CO., LTD.",JAPAN,world,Statement & Designation By Foreign Corporation,Surrendered,1987,90266
"THE SAKURA BANK, LIMITED",JAPAN,world,Statement & Designation By Foreign Corporation,Surrendered,1971,90071
"THE DAI-ICHI KANGYO BANK, LIMITED",JAPAN,world,Statement & Designation By Foreign Corporation,Surrendered,1971,90071
THRIFTMART LIMITED TO CONDUCT ITS BUSINESS UNDER THE NAME COSMETIQUES HERBELLE,CANADA,world,Statement & Designation By Foreign Corporation,Forfeited,1971,90067
"THE TOKAI BANK, LIMITED",JAPAN,world,Statement & Designation By Foreign Corporation,Surrendered,1971,90071
"DIANA FILMS, SOCIEDAD ANONIMA",MEXICO,world,Statement & Designation By Foreign Corporation,Surrendered,1971,90036
"COMMERCIAL BROADLOOMS, INC.",GEORGIA,world,Statement & Designation By Foreign Corporation,Forfeited,1971,90017
"TALSTON CARPET MILLS, INC.",GEORGIA,world,Statement & Designation By Foreign Corporation,Forfeited,1971,90017
SUMITOMO MITSUI BANKING CORPORATION,JAPAN,world,Statement & Designation By Foreign Corporation,Surrendered,1971,90017
