name,jurisdiction,jurisdictionType,entityType,status,birthyear,zipcode
SHARKSVILLE CORP. N.V.,NETHERLANDS ANTILLES,world,FORP,I,1981,33156
"SPIN INVESTMENTS OF MIAMI, INC.",NETHERLANDS ANTILLES,world,FORP,I,1979,33129
CROWN AGENTS SERVICES LIMITED INCORPORATED,UNITED KINGDOM,world,FORP,I,1988,33134
"GENERAL TRADING & SERVICES, INC.",PERU,world,FORP,I,1988,33131
ABAMAR HOUSING AND DEVELOPMENT INC.,VIRGIN ISLANDS,world,FORP,I,1992,33173
"ANTILLES INVESTMENT CORPORATION, INC.",DOMINICAN REPUBLIC,world,AGENT,A,1988,33134
SIGBERTVEST N.V. COMPANY,LIECHTENSTEIN,world,FORP,I,1979,33146
INTERNATIONAL MOTORS CORP.,CANADA,world,FORP,I,1982,33166
"SELCAST S.A., INC.",PANAMA,world,FORP,I,1986,33131
"VENEZUELAN CONTAINER LINE, C.A. INC.",VENEZUELA,world,FORP,I,1990,33126
541896 ONTARIO LIMITED,CANADA,world,AGENT,A,1990,33134
NATWEST INTERNATIONAL TRUST CORPORATION (CAYMAN) LIMITED,CAYMAN ISLANDS,world,FORP,I,1990,33131
"COMERCIAL SAUSALITO, S.A.",PANAMA,world,AGENT,A,1993,33131
"GABY, INC.",CZECH REPUBLIC,world,DOMP,I,1994,33131
"MCM ARBORS, INC.",CANADA,world,DOMP,I,1994,33133
"ISS ACTION, INC.",JAMAICA,world,FORP,I,1996,33180
SR-SOUZA RAMOS CORPORATION,BRITISH VIRGIN ISLANDS,world,FORP,I,1998,33134
"GLOBAL DELIVERY SYSTEMS, L.L.C.",JAMAICA,world,FORL,I,1999,33156
"PHOENIX ASSEMBLIES, LLC",DOMINICAN REPUBLIC,world,FLAL,I,2001,33131
ONIX CAMBIOS S.A.,PARAGUAY,world,FORP,I,2003,33131
"TALAFONE USA, LLC",CANADA,world,FLAL,I,2003,33034
"TALAFONE COMMUNICATION, LLC",CANADA,world,FLAL,I,2003,33034
"SACBE INTERNATIONAL LTD., INC.",BRITISH VIRGIN ISLANDS,world,FORP,I,2003,33180
"GRANDPA, LLC",ARGENTINA,world,FLAL,I,2004,33149
"AJAS INVESTMENTS, LLC",MEXICO,world,FLAL,A,2005,33134
"ICF INTERNATIONAL, LLC",SINGAPORE,world,FLAL,I,2006,33131
"ABUTUA, LLC",MEXICO,world,FLAL,I,2007,33126
"ARCANUM CAPITAL MANAGEMENT, LLC",SINGAPORE,world,FLAL,A,2007,33139
TELELOGIC INTERNATIONAL LLC,ECUADOR,world,FLAL,I,2008,33012
"JHR LOGISTICS SUPPLY, LLC",SPAIN,world,FLAL,A,2008,33146
"FOREIGN INVESTMENT CAPITAL, LLC",SPAIN,world,FLAL,A,2008,33146
"FALK REALESTATE, LLC",GERMANY,world,FORL,A,2009,33156
"TAVOPT INVESTMENTS, LLC",VENEZUELA,world,FLAL,I,2009,33131
"TECHMEDICAL, LLC",COLOMBIA,world,FLAL,I,2009,33146
"SANIBEL SUN & FUN, INC.",CANADA,world,DOMP,I,1987,33154
"MEDIA ENTERPRISES, INC.",NETHERLANDS ANTILLES,world,FORP,I,1971,33130
"BAYONNE INVESTMENTS, N.V.",NETHERLANDS ANTILLES,world,FORP,I,1986,33156
EASTERN PORTS CUSTOMS LTD. CORPORATION,JAMAICA,world,FORP,I,1990,33166
"SURGIKOS, INC.",CANADA,world,FORP,I,1979,33132
MISSION ENTERPRISES LTD. CORPORATION,CANADA,world,FORP,I,1990,33131
SIMCOVEST N.V. INC.,NETHERLANDS ANTILLES,world,FORP,I,1979,33132
CAN-VAM HOLDINGS INC.,CANADA,world,AGENT,A,1990,33134
PROWTING PROJECTS LIMITED,UNITED KINGDOM,world,AGENT,A,1986,33133
WOODCHESTER CORPORATION,BRITISH VIRGIN ISLANDS,world,AGENT,A,1992,33135
"WINTERGREEN INVESTMENTS LIMITED, INC.",BARBADOS,world,FORP,I,1993,33131
"G.S.I. SATIN CARGO SYSTEMS, INC.",JAMAICA,world,FORP,I,1993,33172
"NIHON RESORTS, INC.",BRITISH VIRGIN ISLANDS,world,AGENT,A,1994,33146
"SASHA & SASHA, INC.",CANADA,world,DOMP,I,1994,33131
BIOKEY IDENTIFICATION INC.,CANADA,world,DOMP,I,1996,33134
"PARBO KENDALL INVESTMENTS, INC.",CAYMAN ISLANDS,world,AGENT,A,1996,33131
"VALEX SECURITY, INC.",JAMAICA,world,FORP,A,1996,33132
BLUE BIRD LTD,CAYMAN ISLANDS,world,AGENT,A,1998,33131
PORT AIR CARGO INTERNATIONAL CORP.,JAMAICA,world,FORP,A,1999,33126
RAGOSA SPRINGS INTERNATIONAL LTD.,BRITISH VIRGIN ISLANDS,world,AGENT,A,1999,33134
"AUROBINDO PHARMA LTD., INC.",INDIA,world,FORP,I,2000,33172
"MAGNET WORLD, INC.",REUNION,world,DOMP,A,2000,33180
VESSELNET LLC,GREECE,world,FLAL,I,2002,33180
"GREEN PATH HOLDINGS, L.L.C.",ISRAEL,world,FLAL,A,2002,33146
ELMA EXPRESS CORP.,PANAMA,world,AGENT,A,2003,33131
FACTORING & CONSULTING GROUP INC,COLOMBIA,world,DOMP,I,2003,33133
ALTO INVEST LTD. INC.,BRITISH VIRGIN ISLANDS,world,FORP,I,2003,33133
"GRANDPO, LLC",ARGENTINA,world,FLAL,I,2004,33149
"DE LAND INVERSIONES, INC.",VENEZUELA,world,FORP,I,2004,33133
"CAMPINAS TRADING PARTNERS, LLC",BRAZIL,world,FLAL,I,2004,33131
"HPC INTERNATIONAL, INC.",CZECH REPUBLIC,world,DOMP,I,2005,33134
LAKESHORE MARKETING INC.,POLAND,world,DOMP,I,2005,33139
LF FREIGHT (USA) LLC,JAMAICA,world,FORL,A,2005,33156
"URBAN 4, LLC",PANAMA,world,FLAL,I,2005,33160
"INTERNATIONAL ASSETS, LLC",MEXICO,world,FLAL,A,2007,33134
"HI-POINT INTERNATIONAL, LLC",MEXICO,world,FLAL,I,2007,33126
"HEKAL PROPERTY INVESTMENTS, LLC",MEXICO,world,FLAL,I,2007,33126
"LARCOM FINANCIAL, INC.",BRITISH VIRGIN ISLANDS,world,AGENT,A,2007,33134
MORAYS MANAGEMENT LTD.,BRITISH VIRGIN ISLANDS,world,AGENT,A,2008,33134
"AIR MERCHANDISING, LLC",SPAIN,world,FLAL,A,2008,33146
"VOXTIN ADMINISTRATION, LLC",BRITISH VIRGIN ISLANDS,world,FLAL,I,2008,33131
"INVERSIONES JOCKEY, S.A. CORPORATION",COSTA RICA,world,FORP,I,2009,33156
MIAMILONIA LLC,JAMAICA,world,FLAL,I,2009,33126
"LEPUY, L.P.",MEXICO,world,FORLP,A,2010,33156
BROADMAP LLC,LEBANON,world,FORL,A,2010,33139
"INVERSIONES AURI S.A., INC.",PANAMA,world,FORP,A,2011,33131
"ATQOL MEDICAL, LLC",AUSTRALIA,world,FLAL,A,2011,33131
DAVENPORT FINANCIAL INVESTORS INC.,DOMINICAN REPUBLIC,world,FORP,A,2011,33140
"ANALOUIS, INC.",NETHERLANDS ANTILLES,world,FORP,I,1984,33176
CITADEL TRADING COMPANY,HONG KONG,world,FORP,I,1979,33142
"TETRA INVESTMENTS, N.V.",NETHERLANDS ANTILLES,world,FORP,I,1986,33156
INTERAMERICAN FREIGHT CORP. N.V.,NETHERLANDS ANTILLES,world,FORP,I,1979,33130
INVERKEY N.V.,NETHERLANDS ANTILLES,world,FORP,I,1986,33131
BECORO CORPORATION N.V.,NETHERLANDS ANTILLES,world,FORP,I,1988,33131
"CORPAN DEL SUR, S.A.",COSTA RICA,world,AGENT,A,1992,33165
"PARCS CORPORATION, N.V.",NETHERLANDS ANTILLES,world,FORP,I,1985,33137
"HAINA INVESTMENTS CORPORATION, N.V.",NETHERLANDS ANTILLES,world,FORP,I,1979,33135
"BANCO HISPANO AMERICANO, INC.",SPAIN,world,FORP,I,1989,33131
S-M RIDE CORPORATION,CANADA,world,DOMP,I,1979,33134
PEGASUS (N.Y.) INC.,JAMAICA,world,FORP,I,1984,33142
"AURO AMERICAN INVESTMENTS CORPORATION, N.V.",NETHERLANDS ANTILLES,world,FORP,I,1979,33131
KITTSON ENTERPRISES S.A. COMPANY,BRITISH VIRGIN ISLANDS,world,FORP,I,1993,33131
"KEY ENGINEERING OF DADE COUNTY, INC.",BRITISH VIRGIN ISLANDS,world,FORP,I,1993,33134
PERFORMANCE INVESTMENTS COMPANY LIMITED,JAMAICA,world,FORP,I,1993,33169
399833 ONTARIO LIMITED,CANADA,world,AGENT,A,1993,33146
BEAM CORPORATION,BRITISH VIRGIN ISLANDS,world,AGENT,A,1993,33133
DOMINO INTERVEST CORP.,BRITISH VIRGIN ISLANDS,world,AGENT,A,1996,33131
"LEISURE TIME, INC.",HONG KONG,world,FORP,I,1996,33139
