name,jurisdiction,jurisdictionType,entityType,status,statusDescription,birthyear,birthmonth,birthday,deathyear,deathmonth,deathday,zipcode
SOCIETE GENERALE MEULIERE,FRANCE,world,FOREIGN BUSINESS CORPORATION,ACTIVE,NONE,1907,05,01,NONE,NONE,NONE,10004
VEREININTE ULTRAMARINFABRIKEN AKTIEN-GESELLSCHAFT VORMALS LEVERKUS JELTNER & CONSORTEN,GERMANY,world,FOREIGN BUSINESS CORPORATION,ACTIVE,NONE,1907,10,07,NONE,NONE,NONE,10013
CASSELL & COMPANY LIMITED,GABON,world,FOREIGN BUSINESS CORPORATION,ACTIVE,NONE,1907,10,14,NONE,NONE,NONE,10003
UNITED STATES DOLOMENT COMPANY LIMITED,GABON,world,FOREIGN BUSINESS CORPORATION,ACTIVE,NONE,1907,09,27,NONE,NONE,NONE,10010
THE NORTHERN COAL COMPANY LIMITED,CANADA,world,FOREIGN BUSINESS CORPORATION,ACTIVE,NONE,1908,02,13,NONE,NONE,NONE,10004
HEATON BUTLER & BAYNE (NEW YORK) LIMITED,GABON,world,FOREIGN BUSINESS CORPORATION,ACTIVE,NONE,1908,06,13,NONE,NONE,NONE,10016
CAMMELL LAIRD & COMPANY LIMITED,GABON,world,FOREIGN BUSINESS CORPORATION,ACTIVE,NONE,1908,07,09,NONE,NONE,NONE,10005
ORENSTEIN ARTHUR KOPPEL COMPANY,GERMANY,world,FOREIGN BUSINESS CORPORATION,ACTIVE,NONE,1909,11,17,NONE,NONE,NONE,10007
LA GENERALE-SOIES,FRANCE,world,FOREIGN BUSINESS CORPORATION,ACTIVE,NONE,1909,12,13,NONE,NONE,NONE,10013
SOCIETE ANONYME DES ANCIENS ETABLISSEMENTS C. & E. CHAPAL FRERES ET CIE,FRANCE,world,FOREIGN BUSINESS CORPORATION,ACTIVE,NONE,1910,03,17,NONE,NONE,NONE,11215
BUTTERS SALVADOR MINES LIMITED,GABON,world,FOREIGN BUSINESS CORPORATION,ACTIVE,NONE,1910,08,19,NONE,NONE,NONE,10007
BROWNS SHAMROCK LINENS LIMITED,GABON,world,FOREIGN BUSINESS CORPORATION,ACTIVE,NONE,1910,10,31,NONE,NONE,NONE,10013
CARRERAS AND MARCIANUS CIGARETTES LIMITED,GABON,world,FOREIGN BUSINESS CORPORATION,ACTIVE,NONE,1910,11,10,NONE,NONE,NONE,10011
SUTTON CARDEN & COMPANY LIMITED,UNITED KINGDOM,world,FOREIGN BUSINESS CORPORATION,ACTIVE,NONE,1911,04,19,NONE,NONE,NONE,10024
THE FRUIT JUICE COMPANY LIMITED,UNITED KINGDOM,world,FOREIGN BUSINESS CORPORATION,ACTIVE,NONE,1911,09,18,NONE,NONE,NONE,11232
UNION PHOTOGRAPHIGNE INDUSTRIELLE ESTABLISSEMENTS LUMIERE ET JOUPLA REUNIS,FRANCE,world,FOREIGN BUSINESS CORPORATION,ACTIVE,NONE,1911,11,24,NONE,NONE,NONE,10003
METALLURGIQUE LIMITED,GABON,world,FOREIGN BUSINESS CORPORATION,ACTIVE,NONE,1912,02,13,NONE,NONE,NONE,10004
GAILLOT MAISON GUINOT,FRANCE,world,FOREIGN BUSINESS CORPORATION,ACTIVE,NONE,1912,08,06,NONE,NONE,NONE,10018
AKTIEUGESELLSCHAFT PORZELLANFABRIK WEIDEN GEBRUDER BAUSCHER,GERMANY,world,FOREIGN BUSINESS CORPORATION,ACTIVE,NONE,1912,08,22,NONE,NONE,NONE,10010
