name,jurisdiction,jurisdictionType,entityType,status,birthyear,zipcode
AURELIA COMMERCIAL S.A.,PANAMA,world,Statement & Designation By Foreign Corporation,Surrendered,1988,92129
"ALAMEDA FILMS, S. DE R. L.",MEXICO,world,Statement & Designation By Foreign Corporation,Forfeited,1951,92103
AMERICAN SECURITY INSURANCE COMPANY,GEORGIA,world,Statement & Designation By Foreign Corporation,Surrendered,1965,91209
ST. PAUL TITLE COMPANY OF THE SOUTH,GEORGIA,world,Statement & Designation By Foreign Corporation,Forfeited,1972,92101
"F. C. FINANCIAL ASSOCIATES LTD., WHICH WILL DO BUSINESS IN CALIFORNIA AS F. C. ASSOCIATES, LTD.",CANADA,world,Statement & Designation By Foreign Corporation,Forfeited,1974,92103
"ROYAL FISHING COMPANY, INC.",PUERTO RICO,world,Statement & Designation By Foreign Corporation,Forfeited,1974,92113
"COMPANIA COMERCIAL DE LA BAJA CALIFORNIA, SOCIEDAD ANONIMA",MEXICO,world,Statement & Designation By Foreign Corporation,Forfeited,1976,92101
BAJA BULK CARRIERS S.A.,LIBERIA,world,Statement & Designation By Foreign Corporation,Active,1976,92101
ROBIN N.V. WHICH WILL DO BUSINESS IN CALIFORNIA AS LECORP,NETHERLANDS ANTILLES,world,Statement & Designation By Foreign Corporation,Surrendered,1977,92101
"TIX - BY - PHONE, INC.",GEORGIA,world,Statement & Designation By Foreign Corporation,Forfeited,1977,90069
MONTPARNASSE INVESTMENT TRUST N.V.,NETHERLANDS ANTILLES,world,Statement & Designation By Foreign Corporation,Surrendered,1977,92101-3907
FORESTERS INDEMNITY COMPANY,CANADA,world,Statement & Designation By Foreign Corporation,Forfeited,1978,92121
"ALOS COMPANY N.V., WHICH WILL DO BUSINESS IN CALIFORNIA AS SLOA COMPANY",NETHERLANDS ANTILLES,world,Statement & Designation By Foreign Corporation,Surrendered,1978,92101
ZEALOT & COMPANY LIMITED,HONG KONG,world,Statement & Designation By Foreign Corporation,Active,1978,92121
"ALELHI, INC.",PANAMA,world,Statement & Designation By Foreign Corporation,Forfeited,1978,92101
RARU REALTY N.V.,NETHERLANDS ANTILLES,world,Statement & Designation By Foreign Corporation,Surrendered,1978,92101
PAROS REALTY N.V.,NETHERLANDS ANTILLES,world,Statement & Designation By Foreign Corporation,Forfeited,1978,92101
"LEXINGTON ARMS, N.V.",NETHERLANDS ANTILLES,world,Statement & Designation By Foreign Corporation,Forfeited,1978,92101
"ESTELLA, INC.",PANAMA,world,Statement & Designation By Foreign Corporation,Forfeited,1978,92101
"DOREL, N.V.",NETHERLANDS ANTILLES,world,Statement & Designation By Foreign Corporation,Forfeited,1978,92101
DECAPOLIS REALTY N.V.,NETHERLANDS ANTILLES,world,Statement & Designation By Foreign Corporation,Forfeited,1978,92101
GUMA REALTY N.V.,NETHERLANDS ANTILLES,world,Statement & Designation By Foreign Corporation,Forfeited,1978,92101
