name,jurisdiction,jurisdictionType,entityType,status,birthyear,zipcode
THE NEW ZEALAND INSURANCE COMPANY LIMITED,NEW ZEALAND,world,Statement & Designation By Foreign Corporation,Surrendered,1899,94111
STATE ASSURANCE CO LIMITED,UNITED KINGDOM,world,Statement & Designation By Foreign Corporation,Active,1901,94104
"UNION INSURANCE SOCIETY OF CANTON, LIMITED",HONG KONG,world,Statement & Designation By Foreign Corporation,Active,1918,94104
BANK OF MONTREAL,CANADA,world,Statement & Designation By Foreign Corporation,Active,1919,94105
THE HALIFAX INSURANCE COMPANY,CANADA,world,Statement & Designation By Foreign Corporation,Forfeited,1928,94111
THE GEORGIA HOME INSURANCE COMPANY,GEORGIA,world,Statement & Designation By Foreign Corporation,Active,1929,94104
SKANDIA INSURANCE COMPANY,SWEDEN,world,Statement & Designation By Foreign Corporation,Active,1931,94104
FOREIGN TANKSHIP CORPORATION,PANAMA,world,Statement & Designation By Foreign Corporation,Surrendered,1935,94105
THE AMERICAN LEGION,UNITED STATES,world,Statement & Designation By Foreign Corporation,Active,1947,94102
STIMULUS N.V.,NETHERLANDS ANTILLES,world,Statement & Designation By Foreign Corporation,Active,1980,94104
OVERSEAS MERCHANDISE INSPECTION COMPANY LIMITED,JAPAN,world,Statement & Designation By Foreign Corporation,Active,1955,94115
MUNICH REINSURANCE COMPANY,GERMANY,world,Statement & Designation By Foreign Corporation,Active,1959,94114
THE NATIONAL LIFE ASSURANCE COMPANY OF CANADA,CANADA,world,Statement & Designation By Foreign Corporation,Surrendered,1959,94104
EMIL ANDERSON CONSTRUCTION CO. LTD.,CANADA,world,Statement & Designation By Foreign Corporation,Forfeited,1961,94104
MC NAMARA CORPORATION LIMITED,CANADA,world,Statement & Designation By Foreign Corporation,Forfeited,1962,94104
THE PACIFIC COAST FIRE INSURANCE COMPANY,CANADA,world,Statement & Designation By Foreign Corporation,Active,1964,94104
BARCLAYS BANK PLC,UNITED KINGDOM,world,Statement & Designation By Foreign Corporation,Surrendered,1965,94111
THE BANK OF NOVA SCOTIA,CANADA,world,Statement & Designation By Foreign Corporation,Surrendered,1968,94104
BNP PARIBAS,FRANCE,world,Statement & Designation By Foreign Corporation,Active,1968,94111
"HYUNDAI CONSTRUCTION CO., LTD., KOREA","KOREA,SOUTH",world,Statement & Designation By Foreign Corporation,Forfeited,1969,94111
TAKOLI AKTIENGESELLSCHAFT,LIECHTENSTEIN,world,Statement & Designation By Foreign Corporation,Forfeited,1980,94111
"BYAKUYA SHOBO CO., LTD.",JAPAN,world,Statement & Designation By Foreign Corporation,Forfeited,1988,94115
BECCERO N.V. DOING BUSINESS IN CALIFORNIA AS BNV PROPERTIES,NETHERLANDS ANTILLES,world,Statement & Designation By Foreign Corporation,Forfeited,1980,94104
"FRIENDS OF THE VINE, INC. WHICH WILL DO BUSINESS IN THE STATE OF CALIFORNIA AS GRAPE COMPANIONS",JAPAN,world,Statement & Designation By Foreign Corporation,Surrendered,1988,94114
B.C. BANCORP,CANADA,world,Statement & Designation By Foreign Corporation,Surrendered,1973,94104
TITUS N.V.,NETHERLANDS ANTILLES,world,Statement & Designation By Foreign Corporation,Surrendered,1973,94104
